trial,score,state,duration_s,k,eps,tau,attr_fiedler,attr_mrr_proxy,attr_n_probe,attr_n_sample,attr_tau,attr_var_lambda
10,2.06157688,COMPLETE,193.33713800,38,1.23105690,0.42437745,0.60766130,2.80555000,50.00000000,5000.00000000,0.42437700,0.02773348
12,2.05470022,COMPLETE,244.12093000,40,1.08501960,0.43989703,0.70047357,2.77950700,50.00000000,5000.00000000,0.43989700,0.02905125
9,2.03829028,COMPLETE,211.29923500,22,1.13668234,0.44694124,0.65174598,2.76421000,50.00000000,5000.00000000,0.44694100,0.03021149
27,2.03743615,COMPLETE,236.27396700,27,1.36398092,0.48494615,0.61582703,2.76954800,50.00000000,5000.00000000,0.48494600,0.02822290
11,2.03723001,COMPLETE,245.20150500,38,1.18826931,0.44246062,0.68654559,2.75639300,50.00000000,5000.00000000,0.44246100,0.03270580
22,2.02156861,COMPLETE,237.96240000,24,1.20692888,0.46525164,0.62926840,2.74448900,50.00000000,5000.00000000,0.46525200,0.02839451
24,2.02042480,COMPLETE,249.20071500,32,1.57200598,0.48169379,0.65985856,2.73757900,50.00000000,5000.00000000,0.48169400,0.02811502
29,2.00172877,COMPLETE,240.39156900,36,1.97564449,0.51457476,0.54673815,2.73095600,50.00000000,5000.00000000,0.51457500,0.02870316
26,1.99421574,COMPLETE,244.74576600,37,1.16647265,0.55031049,0.67856689,2.69659000,50.00000000,5000.00000000,0.55031000,0.03060817
21,1.98799811,COMPLETE,236.40928900,29,1.07799418,0.57810336,0.65096151,2.69271400,50.00000000,5000.00000000,0.57810300,0.02867149
23,1.98528027,COMPLETE,243.33654600,13,1.09510156,0.43348142,0.98995157,2.63474600,50.00000000,5000.00000000,0.43348100,0.03392100
8,1.98455979,COMPLETE,256.29097700,20,1.48488574,0.53581079,0.59027972,2.69831800,50.00000000,5000.00000000,0.53581100,0.02999298
14,1.96482216,COMPLETE,227.31922700,33,1.33854033,0.61865928,0.65310013,2.65932000,50.00000000,5000.00000000,0.61865900,0.02806305
13,1.96373566,COMPLETE,247.69888000,40,1.04538234,0.62653291,0.53552260,2.67854000,50.00000000,5000.00000000,0.62653300,0.03028206
17,1.89375110,COMPLETE,265.97447600,29,0.95057588,0.57303372,0.02010723,2.69478100,50.00000000,5000.00000000,0.57303400,0.03482433
28,1.89044281,COMPLETE,240.51678000,31,1.01647988,0.58810779,0.30738887,2.61991900,50.00000000,5000.00000000,0.58810800,0.02935646
0,1.88511139,COMPLETE,227.25449900,17,1.86791475,0.84455649,0.97803452,2.49391200,50.00000000,5000.00000000,0.84455600,0.02995943
2,1.80186573,COMPLETE,194.00240900,5,1.66134568,0.76864671,0.98833640,2.37387300,50.00000000,5000.00000000,0.76864700,0.02731563
30,1.76394942,COMPLETE,242.09342700,13,1.74176084,0.84986885,0.98694842,2.31975500,50.00000000,5000.00000000,0.84986900,0.02840755
19,1.75273645,COMPLETE,237.90780800,15,1.43984483,0.92447748,0.99749038,2.30208600,50.00000000,5000.00000000,0.92447700,0.02939996
1,,PRUNED,213.26192300,25,0.62072979,0.51047682,,,,,,
3,,PRUNED,191.84295200,29,0.51447361,0.98254771,,,,,,
4,,PRUNED,193.81515000,34,0.67113654,0.52545848,,,,,,
5,,PRUNED,184.51490500,9,0.76232838,0.72435873,,,,,,
6,,PRUNED,222.86271200,19,0.74869928,0.77487468,,,,,,
7,,PRUNED,261.20971700,8,0.74965011,0.63248987,,,,,,
15,,RUNNING,,34,0.91159789,0.42437745,,,,,,
16,,PRUNED,243.62353100,34,0.91159789,0.42437745,,,,,,
18,,PRUNED,241.48012100,40,1.26801870,0.48721675,,,,,,
20,,PRUNED,221.37464800,36,0.88825549,0.68551143,,,,,,
25,,PRUNED,256.24782300,24,0.84124017,0.42171210,,,,,,
