trial,score,state,duration_s,k,eps,tau,attr_fiedler,attr_var_lambda,attr_mrr_proxy,attr_tau,attr_n_sample,attr_n_probe
18,1.71700216,COMPLETE,36.91187300,29,0.94019981,0.60641189,0.02003804,0.01478829,2.44509500,0.60641200,2000.00000000,200.00000000
15,1.53452695,COMPLETE,36.97188600,19,0.94271939,0.84274398,0.06303876,0.02360654,2.17138200,0.84274400,2000.00000000,200.00000000
2,1.22807499,COMPLETE,36.96167700,11,0.94416098,1.24211852,0.02625935,0.01729590,1.74453700,1.24211900,2000.00000000,200.00000000
12,1.10431563,COMPLETE,39.78398500,17,1.15999095,1.31957968,0.98676045,0.02884727,1.37738700,1.31958000,2000.00000000,200.00000000
11,0.90412405,COMPLETE,40.95439200,18,1.17883301,1.44590741,0.98884347,0.02963139,1.09099000,1.44590700,2000.00000000,200.00000000
0,,PRUNED,40.69852400,21,1.09857452,1.49078849,,,,,,
1,,PRUNED,29.27625100,28,0.26450635,0.39638959,,,,,,
3,,PRUNED,30.16972700,31,0.20751421,1.94282872,,,,,,
4,,PRUNED,30.52998000,35,0.29259166,0.44546744,,,,,,
5,,PRUNED,30.90059800,15,0.34496615,1.09703722,,,,,,
6,,PRUNED,32.30524600,23,0.33701584,1.26252050,,,,,,
7,,PRUNED,30.84786100,14,0.33756913,0.79608750,,,,,,
8,,PRUNED,31.74205900,24,0.81661180,0.47938019,,,,,,
9,,PRUNED,30.93628000,25,0.57812019,0.18825578,,,,,,
10,,PRUNED,29.79969700,10,0.56719212,1.72159700,,,,,,
13,,PRUNED,30.64811500,10,0.85571222,0.87372763,,,,,,
14,,PRUNED,31.04136400,15,0.82461939,1.25036378,,,,,,
16,,PRUNED,31.35027600,19,0.64039739,0.80091844,,,,,,
17,,PRUNED,32.27086100,12,0.46318400,0.97794726,,,,,,
19,,PRUNED,29.04426000,40,0.67652009,0.64201889,,,,,,
