eps,k,topk,hit_rate,mrr,ndcg,recall_tier2,score_gap,lambda0_count,lambda0_pct,search_errors,n_valid,n_total,build_time,hit_q_medium,hit_q_sentence,hit_q_verbose,mrr_q_medium,mrr_q_sentence,mrr_q_verbose,ndcg_q_medium,ndcg_q_sentence,ndcg_q_verbose
0.35,5,2,0.6388888888888888,0.5355555555555556,0.29600556072308726,0.019815306145085268,0.03193885015460129,0,0.0,0,900,900,73.5584561303258,0.66,0.6533333333333333,0.6033333333333334,0.5477777777777777,0.5416666666666666,0.5172222222222221,0.3014098337836323,0.30169451349600107,0.28491233488962836
0.35,8,4,0.6633333333333333,0.5323148148148149,0.3097282673146983,0.025724325996352392,0.03911355498764828,0,0.0,0,900,900,71.95477897906676,0.7033333333333334,0.6766666666666666,0.61,0.5502777777777778,0.5516666666666666,0.495,0.32203575161780096,0.32126986900672333,0.2858791813195708
0.55,8,4,0.7066666666666667,0.5692592592592591,0.3290598239153902,0.028639717745967685,0.03961546443153562,0,0.0,0,900,900,73.80749623803422,0.7233333333333334,0.72,0.6766666666666666,0.5794444444444444,0.5872222222222222,0.5411111111111111,0.33771534647061646,0.33754629644131606,0.3119178288342379
0.55,5,2,0.6388888888888888,0.5416666666666666,0.29931337931692514,0.021712082751531595,0.03215462304970389,0,0.0,0,900,900,73.04147145478055,0.6466666666666666,0.67,0.6,0.543888888888889,0.5555555555555556,0.5255555555555556,0.29849191416873827,0.31080061880657744,0.2886476049754598
0.35,12,6,0.7533333333333333,0.5769629629629629,0.3537167228149862,0.04071809019937886,0.048467576111955915,0,0.0,0,900,900,74.08353116363287,0.7966666666666666,0.7466666666666667,0.7166666666666667,0.5956666666666667,0.5893333333333334,0.5458888888888889,0.36245884268031847,0.35737421331040964,0.34131711245423035
0.35,20,10,0.8355555555555556,0.585950176366843,0.3976337651445142,0.06629056842504194,0.06177739064565368,0,0.0,0,900,900,72.76618191506714,0.86,0.8433333333333334,0.8033333333333333,0.5942738095238095,0.59910582010582,0.5644708994708995,0.4048855401954467,0.4024432247637274,0.3855725304743684
0.35,30,15,0.87,0.6087227032227033,0.41830403205616173,0.08099653015495174,0.07297979379504584,0,0.0,0,900,900,73.27890152530745,0.8866666666666667,0.87,0.8533333333333334,0.6282611832611832,0.6103430735930736,0.5875638528138527,0.43282337600205967,0.4186734857984669,0.4034152343679585
0.65,8,4,0.6866666666666666,0.537962962962963,0.3178488970106614,0.026736600827711048,0.040376643864955535,0,0.0,0,900,900,70.37661871686578,0.7433333333333333,0.6766666666666666,0.64,0.5591666666666667,0.5516666666666666,0.5030555555555555,0.3327450950226018,0.3204274395301513,0.30037415647923127
0.55,20,10,0.8466666666666667,0.5932888007054674,0.40025983444918817,0.06781519802307907,0.06186334598648971,0,0.0,0,900,900,68.98122322140262,0.8533333333333334,0.8566666666666667,0.83,0.611829365079365,0.6040701058201058,0.5639669312169312,0.4095331106764876,0.4070756875041182,0.3841707051669587
0.55,12,6,0.7722222222222223,0.5837592592592592,0.35625929416047397,0.041989893525511274,0.04854000833325467,0,0.0,0,900,900,65.04739690991119,0.7966666666666666,0.7766666666666666,0.7433333333333333,0.5917777777777777,0.5976666666666667,0.5618333333333334,0.3657664696925263,0.3599041568150042,0.3431072559738911
0.65,20,10,0.84,0.5924889770723103,0.3997880855411822,0.06726187736989842,0.06143260619072752,0,0.0,0,900,900,73.37923034699634,0.8566666666666667,0.8466666666666667,0.8166666666666667,0.6001772486772488,0.6224828042328042,0.5548068783068782,0.41026675644602084,0.4121132681647564,0.3769842320127692
0.65,5,2,0.65,0.5425925925925925,0.30344376969873416,0.018862461581589645,0.033234986975328125,0,0.0,0,900,900,72.92646757978946,0.6833333333333333,0.64,0.6266666666666667,0.5572222222222222,0.55,0.5205555555555555,0.3154421627276325,0.3070102749823341,0.28787887138623597
0.65,12,6,0.7655555555555555,0.5832777777777778,0.35853570070832236,0.041257023259504186,0.04883241424708814,0,0.0,0,900,900,73.20959480293095,0.7933333333333333,0.77,0.7333333333333333,0.6014444444444444,0.5966111111111112,0.5517777777777778,0.3667881660238885,0.3631076711000128,0.34571126500106586
0.55,30,15,0.8688888888888889,0.6014256854256854,0.41339540242228473,0.08060240766498979,0.07265589812825388,0,0.0,0,900,900,73.00110621424392,0.8833333333333333,0.88,0.8433333333333334,0.6033506493506493,0.618714405964406,0.582212000962001,0.42026328431513915,0.4222259205458109,0.3976970024059042
0.65,30,15,0.8522222222222222,0.576597162097162,0.4037679061339576,0.08121546382857178,0.07372988557490119,0,0.0,0,900,900,64.83265787595883,0.89,0.8466666666666667,0.82,0.6023192640692641,0.5991925204425205,0.5282797017797018,0.41807517977988784,0.41626513276234683,0.376963405859638
0.75,12,6,0.7155555555555555,0.5414259259259259,0.3415915311818106,0.04135527919126671,0.0500616126064126,0,0.0,0,900,900,70.27846745494753,0.74,0.7033333333333334,0.7033333333333334,0.5658888888888889,0.5515555555555556,0.5068333333333334,0.3545811227508797,0.3461087421245592,0.324084728669993
0.75,20,10,0.8033333333333333,0.5558690476190477,0.3804422951480099,0.06952387411400683,0.06281340905970445,0,0.0,0,900,900,74.508692630101,0.8166666666666667,0.82,0.7733333333333333,0.5773611111111111,0.5837592592592592,0.5064867724867724,0.39312391122593304,0.39517626195434136,0.35302671226375526
0.75,8,4,0.696329254727475,0.5562662217278457,0.3215548965801264,0.026316306038306158,0.040455817166153714,1,0.0011111111111111111,1,899,900,75.63409063173458,0.7290969899665551,0.7,0.66,0.5707915273132664,0.5683333333333334,0.5297222222222223,0.3352053019839424,0.328497188850291,0.301007700257492
0.75,5,2,0.65,0.5459259259259259,0.301642482707493,0.020246329721251437,0.033061784102667656,0,0.0,0,900,900,72.81855955021456,0.67,0.64,0.64,0.5672222222222223,0.5538888888888889,0.5166666666666667,0.312489889577182,0.3018830049163316,0.2905545536289655
0.8,5,2,0.6388888888888888,0.5359259259259259,0.29500467147611703,0.02159403263032343,0.03362729219843161,0,0.0,0,900,900,74.68499763170257,0.6433333333333333,0.66,0.6133333333333333,0.5411111111111111,0.56,0.5066666666666667,0.2995464705559638,0.3048013595042969,0.28066618436809043
0.75,30,15,0.8311111111111111,0.565141494308161,0.398790453201658,0.08030166055010586,0.07377926187791636,0,0.0,0,900,900,75.14955348800868,0.85,0.8566666666666667,0.7866666666666666,0.5931416546416547,0.5866381673881674,0.515644660894661,0.414323580912786,0.4115793846270895,0.37046839406509846
